"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2021","2022","2023","2024"
"IMF.STA:BOP_AGG(9.0.1)","ALB.CAB_NETCD.USD.A","OBS_VALUE","Albania","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1369.694859412707","-1116.77547601529","-281.7109176975141","-647.9097613602018"
"IMF.STA:BOP_AGG(9.0.1)","MSR.CAB_NETCD.USD.A","OBS_VALUE","Montserrat, United Kingdom-British Overseas Territory","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-12.89575851851852","-5.987486666666667","-5.284998148148148","-1.594036296296296"
"IMF.STA:BOP_AGG(9.0.1)","ETH.CAB_NETCD.USD.A","OBS_VALUE","Ethiopia, The Federal Democratic Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-4507.26833997869","-5160.399280867975","-4787.655499416496","-3791.072162398939"
"IMF.STA:BOP_AGG(9.0.1)","ZWE.CAB_NETCD.USD.A","OBS_VALUE","Zimbabwe","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","348.215436138517","304.9657331813669","133.8774684807777","501.200767466114"
"IMF.STA:BOP_AGG(9.0.1)","AUT.CAB_NETCD.USD.A","OBS_VALUE","Austria","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","8244.331337085277","-3911.41199335773","6782.713687326244","8187.033601190423"
"IMF.STA:BOP_AGG(9.0.1)","CZE.CAB_NETCD.USD.A","OBS_VALUE","Czech Republic","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-5954.003328756459","-13644.23357379241","-432.7269824261227","6046.872749911081"
"IMF.STA:BOP_AGG(9.0.1)","DEU.CAB_NETCD.USD.A","OBS_VALUE","Germany","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","301386.4692080079","161758.5037750409","251479.1488321242","270446.9997905531"
"IMF.STA:BOP_AGG(9.0.1)","PAK.CAB_NETCD.USD.A","OBS_VALUE","Pakistan","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-12283.106","-12216.107","-1039.115536910116","557.0538503576842"
"IMF.STA:BOP_AGG(9.0.1)","BGD.CAB_NETCD.USD.A","OBS_VALUE","Bangladesh","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-15775.41583307423","-14437.64529454949","4387.571900121793","1434.553195376876"
"IMF.STA:BOP_AGG(9.0.1)","SYC.CAB_NETCD.USD.A","OBS_VALUE","Seychelles","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-160.1679878057793","-141.6479506912115","-154.681005918902","-175.6740360189094"
"IMF.STA:BOP_AGG(9.0.1)","AND.CAB_NETCD.USD.A","OBS_VALUE","Andorra, Principality of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","499.4219337797062","393.6197699119684","538.2866436697808","648.9067295503158"
"IMF.STA:BOP_AGG(9.0.1)","ROU.CAB_NETCD.USD.A","OBS_VALUE","Romania","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-20566.0408447421","-27325.84483334345","-24460.5130149608","-31207.50606354104"
"IMF.STA:BOP_AGG(9.0.1)","MLI.CAB_NETCD.USD.A","OBS_VALUE","Mali","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-1468.520925287652","-1475.427297812951","-1610.328885891232",""
"IMF.STA:BOP_AGG(9.0.1)","BFA.CAB_NETCD.USD.A","OBS_VALUE","Burkina Faso","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","77.25540399720094","-1403.966910704426","-1017.189768875683",""
"IMF.STA:BOP_AGG(9.0.1)","SLB.CAB_NETCD.USD.A","OBS_VALUE","Solomon Islands","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-78.19157699180104","-218.5338334320504","-178.1970368700102","-66.23086634132883"
"IMF.STA:BOP_AGG(9.0.1)","TON.CAB_NETCD.USD.A","OBS_VALUE","Tonga","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-49.56966906076733","-47.06218033116244","-46.90164645602725","-43.5157516904636"
"IMF.STA:BOP_AGG(9.0.1)","HRV.CAB_NETCD.USD.A","OBS_VALUE","Croatia, Republic of","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","557.48689444453","-2620.666992857188","635.97000633662","-1049.21517514413"
"IMF.STA:BOP_AGG(9.0.1)","JPN.CAB_NETCD.USD.A","OBS_VALUE","Japan","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","196525.0674688418","90209.90494091504","156591.9643244305","194256.9926295677"
"IMF.STA:BOP_AGG(9.0.1)","FIN.CAB_NETCD.USD.A","OBS_VALUE","Finland","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","961.0534357143201","-7025.739227191663","-2733.700906110226","-1987.419387590208"
"IMF.STA:BOP_AGG(9.0.1)","TUV.CAB_NETCD.USD.A","OBS_VALUE","Tuvalu","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","17.41017849865422","-0.1468905970988773","20.21056236261666",""
"IMF.STA:BOP_AGG(9.0.1)","LKA.CAB_NETCD.USD.A","OBS_VALUE","Sri Lanka","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-3284.272217688318","-1448.453678134251","1439.114685908773","1205.836416873361"
"IMF.STA:BOP_AGG(9.0.1)","CAN.CAB_NETCD.USD.A","OBS_VALUE","Canada","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-444.179661058726","-6317.506646402397","-13764.19259348006","-10348.86055361424"
"IMF.STA:BOP_AGG(9.0.1)","ARG.CAB_NETCD.USD.A","OBS_VALUE","Argentina","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","6624.785192348","-3964.074915280953","-20751.25160555034","5701.359456362002"
"IMF.STA:BOP_AGG(9.0.1)","GMB.CAB_NETCD.USD.A","OBS_VALUE","Gambia, The","Current account balance (credit less debit), Net (credits less debits)","US dollar","Annual","Millions","-86.8773498715766","-90.25090207713849","-120.0635538288923","-99.79323238209206"
